EventId,Type,Severity,StartTime(UTC),EndTime(UTC),TimeZone,LocationLat,LocationLng,AirportCode,City,County,State,ZipCode
W-31026,Rain,Light,2017-04-29 17:14:00,2017-04-29 17:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31027,Rain,Moderate,2017-04-29 17:54:00,2017-04-29 18:04:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31028,Rain,Light,2017-04-29 18:04:00,2017-04-29 18:35:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31029,Rain,Moderate,2017-04-29 18:35:00,2017-04-29 19:03:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31030,Rain,Light,2017-04-29 19:03:00,2017-04-30 01:43:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31031,Cold,Severe,2017-04-30 01:43:00,2017-05-01 09:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31032,Cold,Severe,2017-05-01 10:27:00,2017-05-01 10:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31033,Rain,Light,2017-05-01 10:54:00,2017-05-01 11:27:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31034,Cold,Severe,2017-05-01 11:27:00,2017-05-01 11:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31035,Rain,Light,2017-05-01 11:54:00,2017-05-01 12:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31036,Cold,Severe,2017-05-01 12:54:00,2017-05-01 16:33:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31037,Rain,Light,2017-05-03 05:54:00,2017-05-03 07:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31038,Rain,Light,2017-05-03 09:54:00,2017-05-03 21:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31039,Rain,Light,2017-05-10 20:09:00,2017-05-10 20:24:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31040,Rain,Moderate,2017-05-10 20:24:00,2017-05-10 21:02:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31041,Rain,Light,2017-05-10 21:02:00,2017-05-10 21:12:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31042,Rain,Light,2017-05-11 08:05:00,2017-05-11 08:42:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31043,Rain,Light,2017-05-11 14:54:00,2017-05-11 15:09:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31044,Rain,Light,2017-05-17 07:54:00,2017-05-17 08:10:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31045,Rain,Light,2017-05-17 20:54:00,2017-05-17 21:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31046,Rain,Light,2017-05-18 21:30:00,2017-05-18 22:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31047,Rain,Light,2017-05-19 02:58:00,2017-05-19 04:18:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31048,Rain,Moderate,2017-05-19 04:18:00,2017-05-19 04:33:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31049,Rain,Heavy,2017-05-19 04:33:00,2017-05-19 05:54:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
W-31050,Rain,Moderate,2017-05-19 05:54:00,2017-05-19 05:59:00,US/Central,39.1209,-94.5972,KMKC,Kansas City,Clay,MO,64116.0
